id|utterance|description|emotion|date_created|status|gender|age|level|audio_recording|user_id
1|Hannu wrote of his expedition in stone.|{user_id} said {transcription} in a {emotion} voice.|Sarcastic|2022-05-04 15:57:16.957078|Complete|Female|20s|3|wavs/recorded_audio_A0MwoOW.webm|3
2|Little India differs from many other neighbourhoods in Singapore in many ways.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {many} and {in many ways}.|Excited|2022-05-04 16:04:21.841726|Complete|Female|20s|6|wavs/recorded_audio_nZB5ujA.webm|3
3|Users had the ability to vote on the songs they heard.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-05-04 16:24:47.767515|Complete|Female|20s|0|wavs/recorded_audio.webm|3
4|His major sponsor is Algario Communications, a Toronto-based communications and sales development company.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {major} and {Toronto-based communications}.|Surprised|2022-05-04 16:09:25.118523|Complete|Female|20s|8|wavs/recorded_audio_6emr1kD.webm|3
5|The mansion also has a marriage office.|In an {emotion} voice, {user_id} says {transcription}.|Sarcastic|2022-05-11 10:29:13.448873|Complete|Female|20s|4|wavs/recorded_audio_ReBGM47.webm|3
6|Helicopters can land and launch on its deck.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Helicopters} and {its deck}.|Surprised|2022-05-11 10:30:16.528689|Complete|Female|20s|6|wavs/recorded_audio_RpgaA2p.webm|3
7|Both of the series have been collected into trade paperbacks.|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-05-04 16:14:18.437336|Complete|Female|20s|0|wavs/recorded_audio_ikPkNv1.webm|3
8|And Jane Andrews nearly fell overboard.|In an {emotion} voice, {user_id} says {transcription}.|Neutral|2022-05-04 16:15:41.477832|Complete|Female|20s|0|wavs/recorded_audio_08oFo0W.webm|3
9|We like to see clear weather.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {like}.|Surprised|2022-05-04 16:19:17.722332|Complete|Female|20s|4|wavs/recorded_audio_6cG2Zts.webm|3
10|The stream nearby is still called Rhyd Waedlyd, which means 'Bloody Ford'.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Rhyd Waedlyd} and {Bloody Ford}.|Disgust|2022-05-04 16:22:12.229217|Complete|Female|20s|5|wavs/recorded_audio_GoZNJWh.webm|3
11|"It is located near the school at ""Church Lane""."|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {school} and {Church Lane}.|Disgust|2022-05-11 10:34:01.382497|Complete|Female|20s|5|wavs/recorded_audio_lS8TbiH.webm|3
12|The show was eventually staged, for four nights, at Oval House in Kennington.|{user_id} said {transcription} With a {emotion} voice.|Disgust|2022-05-11 10:35:07.407043|Complete|Female|20s|5|wavs/recorded_audio_SSY6oNR.webm|3
13|Abraham also played for the Atlanta Falcons and Arizona Cardinals.|{user_id} said {transcription} With a {emotion} voice.|Sad|2022-05-11 10:45:52.463386|Complete|Female|20s|6|wavs/recorded_audio_vmvzVZk.webm|3
14|The participants competing against each other have to go through rounds.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Go through rounds}.|Surprised|2022-05-11 10:38:59.577561|Complete|Female|20s|6|wavs/recorded_audio_Jbvxpuk.webm|3
15|The burden for these costs and associated risks are transferred to the design-build team.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {design-build team} and {costs}.|Excited|2022-05-11 10:48:21.833135|Complete|Female|20s|8|wavs/recorded_audio_5Z52NXy.webm|3
16|"Along with their sophomore effort, ""Double Vision"", this album is the group's best-selling record."|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Double Vision} and {best selling record}.|Surprised|2022-05-11 10:52:58.890678|Complete|Female|20s|6|wavs/recorded_audio_Krp93ic.webm|3
17|This book was banned in Algeria.|{user_id} said {transcription} With a {emotion} voice.|Disgust|2022-07-06 08:17:17.655866|Complete|Female|20s|4|wavs/recorded_audio_NajtwfZ.webm|3
18|Oh, I was terrified!|{user_id} said {transcription} With a {emotion} voice.|Neutral|2022-05-11 10:57:24.921478|Complete|Female|20s|0|wavs/recorded_audio_Z6wPvGH.webm|3
19|And all that stuff about having no soul.|Placing emphasis on {Stuff} and {soul}, {user_id} said {transcription}.|Angry|2022-05-11 10:59:06.560212|Complete|Female|20s|8|wavs/recorded_audio_bl7ugiU.webm|3
20|There would be no waste of time.|{user_id} said {transcription} With a {emotion} voice.|Happy|2022-05-11 11:01:10.911273|Complete|Female|20s|5|wavs/recorded_audio_HFq6ViM.webm|3
21|They are lacy, net-like wrappers typically used for deep-fried cha gio rolls.|{user_id} said {transcription}.|Happy|2022-05-13 13:35:01.260602|Complete|Female|20s|5|wavs/recorded_audio_fCBtcy4.webm|3
22|It is also the last stop before crossing the Willamette River.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Willamette}, {also} and {last stop}.|Disgust|2022-05-13 13:39:11.316790|Complete|Female|20s|6|wavs/recorded_audio_TBdgipG.webm|3
